COD_DISTRI,NOM_DISTRI,DIRECCION,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,ZONA,NMT_25,COMPLEMENT,Capital_Pr,Latitud,Longitud
06D05,GUANO - PENIPE,AVDA 20 DE DICIEMBRE S N Y THOMAS RAMIREZ,60750,GUANO,607,GUANO,6,CHIMBORAZO,3,DE,MINEDUC,,-1.60794592955,-78.6435484928
19D01,ZAMORA - YACUAMBI,CALLE JOSE LUIS TAMAYO Y GARCIA MORENO  COLEGIO SAN FRANCISCO,190150,ZAMORA,1901,ZAMORA,19,ZAMORA CHINCHIPE,7,DP,MINEDUC,SI,-4.06814070733,-78.9578108471
19D02,NANGARITZA - CENTINELA DEL CONDOR - PAQUISHA,AV JORGE MOSQUERA Y HEROES DE PAQUISHA,190350,GUAYZIMI,1903,NANGARITZA,19,ZAMORA CHINCHIPE,7,DE,MINEDUC,,-4.04880779506,-78.6811176014
19D03,PALANDA - CHINCHIPE,PALANDA AV DEL MAESTRO Y CALLE SAN JUAN BAUTISTA S N JUNTO AL COLEGIO ORIENTE ECUATORIANO,190850,PALANDA,1908,PALANDA,19,ZAMORA CHINCHIPE,7,DE,MINEDUC,,-4.65157032791,-79.1319730572
19D04,YANTZAZA - EL PANGUI,CALLE 13 DE ABRIL Y VELASCO IBARRA,190550,YANTZAZA (YANZATZA),1905,YANTZAZA,19,ZAMORA CHINCHIPE,7,DE,MINEDUC,,-3.82605864484,-78.7577799818
07D01,PASAJE - CHILLA - EL GUABO,JOSE ORAMAS Y JOSE ZAMORA ENTRE CARLOS FALQUEZ Y JOSE RAMON VALLEJO,70950,PASAJE,709,PASAJE,7,EL ORO,7,DE,MINEDUC,,-3.32773333782,-79.7935578439
07D02,MACHALA,CALLE AUGUSTO VALLE ROSALES Y RAQUEL UGARTE DE CEVALLOS DENTRO DE LA URB UNIORO,70150,MACHALA,701,MACHALA,7,EL ORO,7,DP,MINEDUC,SI,-3.26550122577,-79.9414753353
07D03,ZARUMA - PORTOVELO - ATAHUALPA,AVDA EL SESMO  JUNTO A LA EEB GABRIELA MISTRAL,71350,ZARUMA,713,ZARUMA,7,EL ORO,7,DE,MINEDUC,,-3.69072235164,-79.6142415721
07D04,BALSAS - MARCABELI - PINAS,CALLE 13 DE NOVIEMBRE ENTRE 24 DE MAYO Y TEODORA LOAIZA,70450,BALSAS,704,BALSAS,7,EL ORO,7,DE,MINEDUC,,-3.76090654182,-79.8241923031
07D05,ARENILLAS - LAS LAJAS - HUAQUILLAS,AV RAUL FRIAS INTERCECCION VENEZUELA Y JAIME ROLDOS  A LADO DEL COLEGIO TECNICO ARRENILLAS,70250,ARENILLAS,702,ARENILLAS,7,EL ORO,7,DE,MINEDUC,,-3.55589761379,-80.0692598123
07D06,SANTA ROSA,CIUDADELA 10 DE AGOSTO CALLE FRANCO ROMERO LOAYZA Y MARIO MARTINEZ,71250,SANTA ROSA,712,SANTA ROSA,7,EL ORO,7,DE,MINEDUC,,-3.45565481153,-79.9567552008
11D01,LOJA,CALLE CATAMAYO ENTRE ALISOS Y CEDROS,110150,LOJA,1101,LOJA,11,LOJA,7,DP,SENECYT - ZONA DEPORTE,SI,-4.0115713513,-79.1970273879
11D02,CATAMAYO - CHAGUARPAMBA - OLMEDO,10 DE AGOSTO Y ATAHUALPA,110350,CATAMAYO (LA TOMA),1103,CATAMAYO,11,LOJA,7,DE,MINEDUC,,-3.98559110238,-79.3533815501
11D03,PALTAS,AVENIDA NAUN BRIONES Y JUAN BENIGNO VELA DETRAS DE LA UNIDAD EDUCATIVA FISCOMISIONAL MARISTA DE CATACOCHA,110950,CATACOCHA,1109,PALTAS,11,LOJA,7,DE,MINEDUC,,-4.05189834642,-79.646975045
11D04,CELICA - PINDAL - PUYANGO,CALLE COLON VIA A GUACHANAMA,110450,CELICA,1104,CELICA,11,LOJA,7,DE,MINEDUC,,-4.10532710418,-79.9535973199
11D05,ESPINDOLA,CALLE SIMON BOLIVAR JUNTO A CNT,110650,AMALUZA,1106,ESPINDOLA,11,LOJA,7,DE,MINEDUC,,-4.58315390487,-79.4277802877
11D06,GONZANAMA - CALVAS - QUILANGA,10 DE AGOSTO Y ATAHUALPA,110750,GONZANAMA,1107,GONZANAMA,11,LOJA,7,DE,MINEDUC,,-4.23187172566,-79.43778583
11D07,MACARA - SOZORANGA,10 DE AGOSTO ENTRE CAMILO PONCE Y EMILIANO CORREA,110850,MACARA,1108,MACARA,11,LOJA,7,DE,MINEDUC,,-4.37862858276,-79.9432611746
